"code","timestamp_started","timestamp_ended","attacker_id","attacker_name","attacker_faction","attacker_factionname","defender_id","defender_name","defender_faction","defender_factionname","result","stealthed","respect","is_interrupted","chain","raid","ranked_war","respect_gain","respect_loss","fair_fight","war","retaliation","group_attack","overseas","chain_bonus","warlord_bonus","duration"
"2ec413d0976b5309e6b73c42fd0b679e",1747515615,1747515618,"2658805","Ghosts","44404","S.C.A.R. - DELTA GREEN",513141,"Deathsgift66",7115,"Republic Of Futuria","Attacked",1,2.31,FALSE,2,0,1,2.31,0.58,1.03,2,1,1,1,1,1,3
"9c548daca3ea00255575ee0456002251",1747515626,1747515633,"2658805","Ghosts","44404","S.C.A.R. - DELTA GREEN",1021188,"FunkyCrunchy",7115,"Republic Of Futuria","Attacked",0,6.68,FALSE,3,0,1,6.68,1.67,2.55,2,1,1,1,1,1,7
"ed2d6d8f8364855f8d9cb0bcfaadbd6b",1747516487,1747516498,"3186340","Karma2406","44404","S.C.A.R. - DELTA GREEN",3233643,"Dzhobina",7115,"Republic Of Futuria","Attacked",0,6.11,FALSE,1,0,1,6.11,1.53,2.68,2,1,1,1,1,1,11
"60ec6ecf004959b86f54c90e9be35229",1747517112,1747517115,"2740244","BigDre96","44404","S.C.A.R. - DELTA GREEN",3299563,"Limerance",7115,"Republic Of Futuria","Attacked",0,2.93,FALSE,1,0,1,2.93,0.73,1.17,2,1,1,1,1,1,3
"623375b56261814879a44ad5a3d07c34",1747517235,1747517240,"3279579","NLFearless","44404","S.C.A.R. - DELTA GREEN",3663460,"LexiBird",7115,"Republic Of Futuria","Attacked",0,3.24,FALSE,2,0,1,3.24,0.81,1.46,2,1,1,1,1,1,5
"70adeae126b736cd0ea124b1f3df48a7",1747517236,1747517241,"2740244","BigDre96","44404","S.C.A.R. - DELTA GREEN",3195854,"Flantas",7115,"Republic Of Futuria","Attacked",0,3.46,FALSE,3,0,1,3.46,0.87,1.43,2,1,1,1,1,1,5
"5b574cb1e2cff92831c0c0699e94db16",1747517305,1747517314,"2740244","BigDre96","44404","S.C.A.R. - DELTA GREEN",1982362,"Kiwi6578",7115,"Republic Of Futuria","Lost",0,0,FALSE,0,0,0,0,0,1,1,1,1,1,1,1,9
"0493fe61726c24bf480b793e586d12e7",1747517396,1747517400,"2740244","BigDre96","44404","S.C.A.R. - DELTA GREEN",3299563,"Limerance",7115,"Republic Of Futuria","Attacked",0,2.93,FALSE,4,0,1,2.93,0.73,1.17,2,1,1,1,1,1,4
"c15f06039cb559338a1398829512b01f",1747517408,1747517410,"2740244","BigDre96","44404","S.C.A.R. - DELTA GREEN",3663460,"LexiBird",7115,"Republic Of Futuria","Attacked",0,2.33,FALSE,5,0,1,2.33,0.58,1.05,2,1,1,1,1,1,2
"8ae2edb14ff82a7974daa56305eb2ff3",1747517435,1747517441,"3279579","NLFearless","44404","S.C.A.R. - DELTA GREEN",3484625,"BigFeelers",7115,"Republic Of Futuria","Attacked",0,3.06,FALSE,1,0,1,3.06,0.77,1.38,2,1,1,1,1,1,6
"a4479feffba5f8901f8ed2873d6586e7",1747517534,1747517538,"3279579","NLFearless","44404","S.C.A.R. - DELTA GREEN",3663460,"LexiBird",7115,"Republic Of Futuria","Attacked",0,3.24,FALSE,2,0,1,3.24,0.81,1.46,2,1,1,1,1,1,4
"91b8e7d5274ac33c4d6addb500fccbfb",1747517537,1747517539,"2740244","BigDre96","44404","S.C.A.R. - DELTA GREEN",3299563,"Limerance",7115,"Republic Of Futuria","Attacked",0,2.93,FALSE,3,0,1,2.93,0.73,1.17,2,1,1,1,1,1,2
"721486ba9c3d4ff7b928c12960944c98",1747517625,1747517632,"2740244","BigDre96","44404","S.C.A.R. - DELTA GREEN",2453360,"MotoHazard",7115,"Republic Of Futuria","Lost",0,0,FALSE,0,0,0,0,0,1,1,1,1,1,1,1,7
"0c4017d38b75b2c6d00b1a83b850c0f6",1747517667,1747517677,"2740244","BigDre96","44404","S.C.A.R. - DELTA GREEN",2453360,"MotoHazard",7115,"Republic Of Futuria","Lost",0,0,FALSE,0,0,0,0,0,1,1,1,1,1,1,1,10
"26ddbbc92619ffa5348854599b3ca23f",1747517736,1747517743,"2740244","BigDre96","44404","S.C.A.R. - DELTA GREEN",2953166,"_Jen_",7115,"Republic Of Futuria","Interrupted",0,0,TRUE,0,0,0,0,0,1,1,1,1,1,1,1,7
"f5cdf7b94172702554798c143769d7a1",1747518701,1747518716,"3186340","Karma2406","44404","S.C.A.R. - DELTA GREEN",3233643,"Dzhobina",7115,"Republic Of Futuria","Attacked",0,6.11,FALSE,1,0,1,6.11,1.53,2.68,2,1,1,1,1,1,15
"7eeb8395d36cfe7d5997ad032d4a0cf1",1747518711,1747518716,"3279579","NLFearless","44404","S.C.A.R. - DELTA GREEN",3663460,"LexiBird",7115,"Republic Of Futuria","Attacked",0,3.24,FALSE,2,0,1,3.24,0.81,1.46,2,1,1,1,1,1,5
"36d7208ead855387b3155c182512c27b",1747518719,1747518722,"3279579","NLFearless","44404","S.C.A.R. - DELTA GREEN",3484625,"BigFeelers",7115,"Republic Of Futuria","Attacked",0,3.06,FALSE,3,0,1,3.06,0.77,1.38,2,1,1,1,1,1,3
"d4b913d4c2b2871f1ff6628ffa5d4c0e",1747518770,1747518773,"2740244","BigDre96","44404","S.C.A.R. - DELTA GREEN",2953166,"_Jen_",7115,"Republic Of Futuria","Interrupted",0,0,TRUE,0,0,0,0,0,1,1,1,1,1,1,1,3
"c9081490c7824bb94ee70480715d51d3",1747518866,1747518879,"2740244","BigDre96","44404","S.C.A.R. - DELTA GREEN",2953166,"_Jen_",7115,"Republic Of Futuria","Interrupted",0,0,TRUE,0,0,0,0,0,1,1,1,1,1,1,1,13
"f63f0f5c333e30c3726d4d94296ce41a",1747518878,1747518896,"3397072","Scarfuncle","44404","S.C.A.R. - DELTA GREEN",3484625,"BigFeelers",7115,"Republic Of Futuria","Attacked",0,6.66,FALSE,4,0,1,6.66,1.67,3,2,1,1,1,1,1,18
"6284bf75c9fbece31b760301b59e5457",1747518934,1747518938,"2740244","BigDre96","44404","S.C.A.R. - DELTA GREEN",2953166,"_Jen_",7115,"Republic Of Futuria","Hospitalized",0,5.24,FALSE,5,0,1,5.24,1.31,1.97,2,1,1,1,1,1,4
"3e6d65f452c668590e7b65d38bd3c2b5",1747518951,1747518955,"2740244","BigDre96","44404","S.C.A.R. - DELTA GREEN",3409196,"Skullwolf",7115,"Republic Of Futuria","Attacked",0,2.83,FALSE,6,0,1,2.83,0.71,1.17,2,1,1,1,1,1,4
"7791189c59cd9a5273b111224b687efa",1747519071,1747519075,"3279579","NLFearless","44404","S.C.A.R. - DELTA GREEN",3663460,"LexiBird",7115,"Republic Of Futuria","Attacked",0,3.24,FALSE,1,0,1,3.24,0.81,1.46,2,1,1,1,1,1,4
"86b5e5a50a8281654d2f421eabc7b2ed",1747519281,1747519283,"3279579","NLFearless","44404","S.C.A.R. - DELTA GREEN",3484625,"BigFeelers",7115,"Republic Of Futuria","Attacked",0,3.06,FALSE,2,0,1,3.06,0.77,1.38,2,1,1,1,1,1,2
"7055229d0ab81cd243e472ab141837fc",1747521802,1747521804,"2658805","Ghosts","44404","S.C.A.R. - DELTA GREEN",2505140,"Centurio",7115,"Republic Of Futuria","Attacked",1,5.51,FALSE,1,0,1,5.51,1.38,2.04,2,1,1,1.25,1,1,2
"7f0e326197b1566468240b8197b1a31d",1747522326,1747522369,"1718214","AnakinPrime","44404","S.C.A.R. - DELTA GREEN",3193362,"Vendratt",7115,"Republic Of Futuria","Attacked",1,3.51,FALSE,1,0,1,3.51,0.88,1.17,2,1,1,1.25,1,1,43
"bdef563df91e2dcb984bc51286824100",1747523573,1747523575,"2658805","Ghosts","44404","S.C.A.R. - DELTA GREEN",2505140,"Centurio",7115,"Republic Of Futuria","Attacked",1,5.51,FALSE,1,0,1,5.51,1.38,2.04,2,1,1,1.25,1,1,2
"dcdb57de538f1c5da82b056ef86053be",1747523672,1747523674,"2740244","BigDre96","44404","S.C.A.R. - DELTA GREEN",3409196,"Skullwolf",7115,"Republic Of Futuria","Attacked",0,2.83,FALSE,2,0,1,2.83,0.71,1.17,2,1,1,1,1,1,2
"c049dd37fc1c419d8a964db84b9dd8a3",1747523685,1747523690,"2740244","BigDre96","44404","S.C.A.R. - DELTA GREEN",3195854,"Flantas",7115,"Republic Of Futuria","Attacked",0,3.46,FALSE,3,0,1,3.46,0.87,1.43,2,1,1,1,1,1,5
